Adsorbate Tag,Loading,Replica,Boltzmann_Weights
CH4,1,1,0.099089729
CH4,1,2,0.092526164
CH4,1,3,0.085611023
CH4,1,4,0.104128949
CH4,1,5,0.089333673
CH4,1,6,0.093982891
CH4,1,7,0.098818676
CH4,1,8,0.115487333
CH4,1,9,0.112779437
CH4,1,10,0.108242126
CH4,2,1,0.146517538
CH4,2,2,0.13129306
CH4,2,3,0.08581739
CH4,2,4,0.067442758
CH4,2,5,0.105833352
CH4,2,6,0.087610649
CH4,2,7,0.081277598
CH4,2,8,0.100254859
CH4,2,9,0.091500482
CH4,2,10,0.102452313
CH4,3,1,0.113158031
CH4,3,2,0.123317884
CH4,3,3,0.124218309
CH4,3,4,0.082462083
CH4,3,5,0.072212451
CH4,3,6,0.106114361
CH4,3,7,0.107393758
CH4,3,8,0.082452111
CH4,3,9,0.093010698
CH4,3,10,0.095660313
CH4,4,1,0.109986431
CH4,4,2,0.048802172
CH4,4,3,0.130744295
CH4,4,4,0.141698281
CH4,4,5,0.130744295
CH4,4,6,0.065412869
CH4,4,7,0.116671229
CH4,4,8,0.10572917
CH4,4,9,0.069734393
CH4,4,10,0.080476866
CH4,5,1,0.104809514
CH4,5,2,0.106005635
CH4,5,3,0.11105504
CH4,5,4,0.091347211
CH4,5,5,0.091133934
CH4,5,6,0.06331939
CH4,5,7,0.072012212
CH4,5,8,0.108075292
CH4,5,9,0.152277411
CH4,5,10,0.09996436
CH4,6,1,0.082425589
CH4,6,2,0.120261574
CH4,6,3,0.03327169
CH4,6,4,0.05100336
CH4,6,5,0.069449931
CH4,6,6,0.175797785
CH4,6,7,0.139211376
CH4,6,8,0.103727086
CH4,6,9,0.113560647
CH4,6,10,0.111290962
CO2,1,1,0.110272067
CO2,1,2,0.089202845
CO2,1,3,0.103271248
CO2,1,4,0.091446866
CO2,1,5,0.107340616
CO2,1,6,0.091298732
CO2,1,7,0.097243529
CO2,1,8,0.116903545
CO2,1,9,0.075012131
CO2,1,10,0.118008421
CO2,2,1,0.086745725
CO2,2,2,0.118048812
CO2,2,3,0.118208991
CO2,2,4,0.110350217
CO2,2,5,0.118429969
CO2,2,6,0.084617043
CO2,2,7,0.103195802
CO2,2,8,0.102917927
CO2,2,9,0.087216874
CO2,2,10,0.070268641
CO2,3,1,0.108445716
CO2,3,2,0.095366237
CO2,3,3,0.066782356
CO2,3,4,0.144452907
CO2,3,5,0.054497215
CO2,3,6,0.080470199
CO2,3,7,0.135262626
CO2,3,8,0.074191668
CO2,3,9,0.106104536
CO2,3,10,0.134426539
CO2,4,1,0.135420677
CO2,4,2,0.061654315
CO2,4,3,0.099063259
CO2,4,4,0.087789398
CO2,4,5,0.135420746
CO2,4,6,0.061653247
CO2,4,7,0.099063546
CO2,4,8,0.132813365
CO2,4,9,0.097004249
CO2,4,10,0.090117199
CO2,5,1,0.098309449
CO2,5,2,0.111001877
CO2,5,3,0.07561635
CO2,5,4,0.093487654
CO2,5,5,0.098349371
CO2,5,6,0.111002122
CO2,5,7,0.07561635
CO2,5,8,0.132189633
CO2,5,9,0.100376524
CO2,5,10,0.104050671
CO2,6,1,0.105617381
CO2,6,2,0.08160558
CO2,6,3,0.103155623
CO2,6,4,0.108902064
CO2,6,5,0.105622451
CO2,6,6,0.08160447
CO2,6,7,0.103157478
CO2,6,8,0.084130568
CO2,6,9,0.077263509
CO2,6,10,0.148940875
CO2_Field,1,1,0.098414445
CO2_Field,1,2,0.108793886
CO2_Field,1,3,0.118486263
CO2_Field,1,4,0.090389495
CO2_Field,1,5,0.108455185
CO2_Field,1,6,0.098208661
CO2_Field,1,7,0.093797572
CO2_Field,1,8,0.087971729
CO2_Field,1,9,0.104533382
CO2_Field,1,10,0.090949382
CO2_Field,2,1,0.120537397
CO2_Field,2,2,0.084028787
CO2_Field,2,3,0.0577941
CO2_Field,2,4,0.106212707
CO2_Field,2,5,0.086388862
CO2_Field,2,6,0.111512722
CO2_Field,2,7,0.106186856
CO2_Field,2,8,0.085476755
CO2_Field,2,9,0.124739875
CO2_Field,2,10,0.117121938
CO2_Field,3,1,0.076263219
CO2_Field,3,2,0.114421766
CO2_Field,3,3,0.14058335
CO2_Field,3,4,0.062307757
CO2_Field,3,5,0.069389513
CO2_Field,3,6,0.102346979
CO2_Field,3,7,0.118662342
CO2_Field,3,8,0.097396347
CO2_Field,3,9,0.119114506
CO2_Field,3,10,0.099514222
CO2_Field,4,1,0.175365922
CO2_Field,4,2,0.122672064
CO2_Field,4,3,0.080957021
CO2_Field,4,4,0.08263317
CO2_Field,4,5,0.099651367
CO2_Field,4,6,0.08711306
CO2_Field,4,7,0.074762249
CO2_Field,4,8,0.088633639
CO2_Field,4,9,0.121158946
CO2_Field,4,10,0.067052561
CO2_Field,5,1,0.099273023
CO2_Field,5,2,0.117758927
CO2_Field,5,3,0.134058583
CO2_Field,5,4,0.096937139
CO2_Field,5,5,0.100286923
CO2_Field,5,6,0.051205222
CO2_Field,5,7,0.121783803
CO2_Field,5,8,0.103689132
CO2_Field,5,9,0.079729022
CO2_Field,5,10,0.095278226
CO2_Field,6,1,0.150419426
CO2_Field,6,2,0.057864842
CO2_Field,6,3,0.053992918
CO2_Field,6,4,0.119337439
CO2_Field,6,5,0.137960122
CO2_Field,6,6,0.09427594
CO2_Field,6,7,0.100113104
CO2_Field,6,8,0.103663247
CO2_Field,6,9,0.079473208
CO2_Field,6,10,0.102899754
Clean,0,1,1
H2O,1,1,0.113051305
H2O,1,2,0.078929013
H2O,1,3,0.096247703
H2O,1,4,0.107428908
H2O,1,5,0.080802899
H2O,1,6,0.093799701
H2O,1,7,0.115510736
H2O,1,8,0.12319706
H2O,1,9,0.110224552
H2O,1,10,0.080808122
H2O,2,1,0.105638635
H2O,2,2,0.12468801
H2O,2,3,0.100581639
H2O,2,4,0.091030127
H2O,2,5,0.109863244
H2O,2,6,0.095198025
H2O,2,7,0.101934728
H2O,2,8,0.077595316
H2O,2,9,0.099357759
H2O,2,10,0.094112518
H2O,3,1,0.069914435
H2O,3,2,0.067037711
H2O,3,3,0.113579715
H2O,3,4,0.085490477
H2O,3,5,0.11186847
H2O,3,6,0.13699633
H2O,3,7,0.074503034
H2O,3,8,0.107986984
H2O,3,9,0.095755725
H2O,3,10,0.136867118
H2O,4,1,0.112096927
H2O,4,2,0.09007644
H2O,4,3,0.06363044
H2O,4,4,0.240438562
H2O,4,5,0.074965436
H2O,4,6,0.087639143
H2O,4,7,0.09211678
H2O,4,8,0.097989843
H2O,4,9,0.047014635
H2O,4,10,0.094031794
H2O,5,1,0.072918239
H2O,5,2,0.078107183
H2O,5,3,0.039415436
H2O,5,4,0.15337064
H2O,5,5,0.095361056
H2O,5,6,0.047105326
H2O,5,7,0.178955293
H2O,5,8,0.044597216
H2O,5,9,0.162471444
H2O,5,10,0.127698168
H2O,6,1,0.099424192
H2O,6,2,0.050419738
H2O,6,3,0.074962151
H2O,6,4,0.065022505
H2O,6,5,0.166836963
H2O,6,6,0.056709394
H2O,6,7,0.156492976
H2O,6,8,0.161029006
H2O,6,9,0.120404906
H2O,6,10,0.048698169
H2O_Field,1,1,0.093824315
H2O_Field,1,2,0.092910878
H2O_Field,1,3,0.0969933
H2O_Field,1,4,0.094491761
H2O_Field,1,5,0.10337293
H2O_Field,1,6,0.114894752
H2O_Field,1,7,0.118474768
H2O_Field,1,8,0.093850126
H2O_Field,1,9,0.095663782
H2O_Field,1,10,0.095523388
H2O_Field,2,1,0.09730261
H2O_Field,2,2,0.087437341
H2O_Field,2,3,0.103513868
H2O_Field,2,4,0.087059734
H2O_Field,2,5,0.101779092
H2O_Field,2,6,0.107232167
H2O_Field,2,7,0.074077596
H2O_Field,2,8,0.115488685
H2O_Field,2,9,0.112371897
H2O_Field,2,10,0.113737008
H2O_Field,3,1,0.09441471
H2O_Field,3,2,0.095573194
H2O_Field,3,3,0.136009363
H2O_Field,3,4,0.065253534
H2O_Field,3,5,0.104504252
H2O_Field,3,6,0.124913325
H2O_Field,3,7,0.092610194
H2O_Field,3,8,0.097270083
H2O_Field,3,9,0.126697995
H2O_Field,3,10,0.06275335
H2O_Field,4,1,0.117067055
H2O_Field,4,2,0.088240952
H2O_Field,4,3,0.117863939
H2O_Field,4,4,0.117641378
H2O_Field,4,5,0.108967689
H2O_Field,4,6,0.094205365
H2O_Field,4,7,0.098584821
H2O_Field,4,8,0.070826779
H2O_Field,4,9,0.104808465
H2O_Field,4,10,0.081793558
H2O_Field,5,1,0.057482403
H2O_Field,5,2,0.131509978
H2O_Field,5,3,0.110995706
H2O_Field,5,4,0.057804266
H2O_Field,5,5,0.124652908
H2O_Field,5,6,0.086163777
H2O_Field,5,7,0.128374737
H2O_Field,5,8,0.136386469
H2O_Field,5,9,0.082293109
H2O_Field,5,10,0.084336648
H2O_Field,6,1,0.094581502
H2O_Field,6,2,0.063810162
H2O_Field,6,3,0.187061763
H2O_Field,6,4,0.085524269
H2O_Field,6,5,0.065508067
H2O_Field,6,6,0.071776429
H2O_Field,6,7,0.104653287
H2O_Field,6,8,0.112680097
H2O_Field,6,9,0.092301398
H2O_Field,6,10,0.122103027
H2S,1,1,0.086280244
H2S,1,2,0.114016452
H2S,1,3,0.102428695
H2S,1,4,0.105623611
H2S,1,5,0.099055874
H2S,1,6,0.117395177
H2S,1,7,0.080794069
H2S,1,8,0.100509656
H2S,1,9,0.103477639
H2S,1,10,0.090418582
H2S,2,1,0.128756818
H2S,2,2,0.09808907
H2S,2,3,0.063920076
H2S,2,4,0.099351353
H2S,2,5,0.089405864
H2S,2,6,0.095803274
H2S,2,7,0.102813226
H2S,2,8,0.142125011
H2S,2,9,0.065578234
H2S,2,10,0.114157073
H2S,3,1,0.160307762
H2S,3,2,0.107209704
H2S,3,3,0.062415077
H2S,3,4,0.152552755
H2S,3,5,0.11617029
H2S,3,6,0.094428718
H2S,3,7,0.041274959
H2S,3,8,0.074492527
H2S,3,9,0.101281648
H2S,3,10,0.089866561
H2S,4,1,0.086157775
H2S,4,2,0.044752488
H2S,4,3,0.116338828
H2S,4,4,0.152803511
H2S,4,5,0.078515317
H2S,4,6,0.093790546
H2S,4,7,0.106329823
H2S,4,8,0.097222816
H2S,4,9,0.100272582
H2S,4,10,0.123816313
H2S,5,1,0.106736724
H2S,5,2,0.095926564
H2S,5,3,0.089022353
H2S,5,4,0.081344001
H2S,5,5,0.118414884
H2S,5,6,0.05972679
H2S,5,7,0.122799742
H2S,5,8,0.092690214
H2S,5,9,0.06014391
H2S,5,10,0.173194818
H2S,6,1,0.119069199
H2S,6,2,0.080824787
H2S,6,3,0.134864637
H2S,6,4,0.048519511
H2S,6,5,0.046457579
H2S,6,6,0.154311392
H2S,6,7,0.137459889
H2S,6,8,0.088077001
H2S,6,9,0.100225829
H2S,6,10,0.090190177
H2S_Field,1,1,0.101309101
H2S_Field,1,2,0.127387336
H2S_Field,1,3,0.079740234
H2S_Field,1,4,0.097134854
H2S_Field,1,5,0.10144604
H2S_Field,1,6,0.08028912
H2S_Field,1,7,0.090025697
H2S_Field,1,8,0.102240755
H2S_Field,1,9,0.11401935
H2S_Field,1,10,0.106407512
H2S_Field,2,1,0.083372969
H2S_Field,2,2,0.083100608
H2S_Field,2,3,0.115930146
H2S_Field,2,4,0.135395969
H2S_Field,2,5,0.071792464
H2S_Field,2,6,0.065037208
H2S_Field,2,7,0.15138498
H2S_Field,2,8,0.130994722
H2S_Field,2,9,0.064563116
H2S_Field,2,10,0.098427816
H2S_Field,3,1,0.09376091
H2S_Field,3,2,0.114477145
H2S_Field,3,3,0.130680347
H2S_Field,3,4,0.073986004
H2S_Field,3,5,0.091780822
H2S_Field,3,6,0.121417656
H2S_Field,3,7,0.089216718
H2S_Field,3,8,0.095966945
